region,date,confirm
Arapiraca,2020-09-10,21
Arapiraca,2020-09-11,25
Arapiraca,2020-09-12,57
Arapiraca,2020-09-13,8
Arapiraca,2020-09-14,17
Arapiraca,2020-09-15,37
Arapiraca,2020-09-16,23
Arapiraca,2020-09-17,12
Arapiraca,2020-09-18,54
Arapiraca,2020-09-19,27
Arapiraca,2020-09-20,34
Arapiraca,2020-09-21,54
Arapiraca,2020-09-22,16
Arapiraca,2020-09-23,157
Arapiraca,2020-09-24,12
Arapiraca,2020-09-25,42
Arapiraca,2020-09-26,30
Arapiraca,2020-09-27,19
Arapiraca,2020-09-28,20
Arapiraca,2020-09-29,9
Arapiraca,2020-09-30,31
Arapiraca,2020-10-01,15
Arapiraca,2020-10-02,14
Arapiraca,2020-10-03,17
Arapiraca,2020-10-04,22
Arapiraca,2020-10-05,13
Arapiraca,2020-10-06,21
Arapiraca,2020-10-07,16
Arapiraca,2020-10-08,15
Arapiraca,2020-10-09,9
Arapiraca,2020-10-10,27
Arapiraca,2020-10-11,10
Arapiraca,2020-10-12,10
Arapiraca,2020-10-13,5
Arapiraca,2020-10-14,15
Arapiraca,2020-10-15,19
Arapiraca,2020-10-16,13
Arapiraca,2020-10-17,13
Arapiraca,2020-10-18,11
Arapiraca,2020-10-19,12
Arapiraca,2020-10-20,21
Arapiraca,2020-10-21,12
Arapiraca,2020-10-22,9
Arapiraca,2020-10-23,24
Arapiraca,2020-10-24,45
Arapiraca,2020-10-25,21
Arapiraca,2020-10-26,12
Arapiraca,2020-10-27,21
Arapiraca,2020-10-28,23
Arapiraca,2020-10-29,18
Arapiraca,2020-10-30,5
Arapiraca,2020-10-31,17
Arapiraca,2020-11-01,11
Arapiraca,2020-11-02,15
Arapiraca,2020-11-03,16
Arapiraca,2020-11-04,27
Arapiraca,2020-11-05,47
Arapiraca,2020-11-06,15
Arapiraca,2020-11-07,28
Arapiraca,2020-11-08,11
Arapiraca,2020-11-09,26
Arapiraca,2020-11-10,19
Arapiraca,2020-11-11,9
Arapiraca,2020-11-12,25
Arapiraca,2020-11-13,18
Arapiraca,2020-11-14,50
Arapiraca,2020-11-15,49
Arapiraca,2020-11-16,0
Arapiraca,2020-11-17,0
Arapiraca,2020-11-18,91
Campo Alegre,2020-09-10,6
Campo Alegre,2020-09-11,4
Campo Alegre,2020-09-12,4
Campo Alegre,2020-09-13,5
Campo Alegre,2020-09-14,1
Campo Alegre,2020-09-15,2
Campo Alegre,2020-09-16,3
Campo Alegre,2020-09-17,2
Campo Alegre,2020-09-18,3
Campo Alegre,2020-09-19,1
Campo Alegre,2020-09-20,5
Campo Alegre,2020-09-21,5
Campo Alegre,2020-09-22,2
Campo Alegre,2020-09-23,4
Campo Alegre,2020-09-24,10
Campo Alegre,2020-09-25,5
Campo Alegre,2020-09-26,1
Campo Alegre,2020-09-27,24
Campo Alegre,2020-09-28,3
Campo Alegre,2020-09-29,7
Campo Alegre,2020-09-30,0
Campo Alegre,2020-10-01,3
Campo Alegre,2020-10-02,0
Campo Alegre,2020-10-03,2
Campo Alegre,2020-10-04,8
Campo Alegre,2020-10-05,0
Campo Alegre,2020-10-06,0
Campo Alegre,2020-10-07,0
Campo Alegre,2020-10-08,0
Campo Alegre,2020-10-09,0
Campo Alegre,2020-10-10,4
Campo Alegre,2020-10-11,1
Campo Alegre,2020-10-12,0
Campo Alegre,2020-10-13,1
Campo Alegre,2020-10-14,0
Campo Alegre,2020-10-15,11
Campo Alegre,2020-10-16,2
Campo Alegre,2020-10-17,0
Campo Alegre,2020-10-18,4
Campo Alegre,2020-10-19,0
Campo Alegre,2020-10-20,1
Campo Alegre,2020-10-21,0
Campo Alegre,2020-10-22,0
Campo Alegre,2020-10-23,0
Campo Alegre,2020-10-24,0
Campo Alegre,2020-10-25,1
Campo Alegre,2020-10-26,0
Campo Alegre,2020-10-27,0
Campo Alegre,2020-10-28,0
Campo Alegre,2020-10-29,0
Campo Alegre,2020-10-30,0
Campo Alegre,2020-10-31,1
Campo Alegre,2020-11-01,0
Campo Alegre,2020-11-02,3
Campo Alegre,2020-11-03,1
Campo Alegre,2020-11-04,0
Campo Alegre,2020-11-05,0
Campo Alegre,2020-11-06,0
Campo Alegre,2020-11-07,1
Campo Alegre,2020-11-08,0
Campo Alegre,2020-11-09,2
Campo Alegre,2020-11-10,0
Campo Alegre,2020-11-11,0
Campo Alegre,2020-11-12,0
Campo Alegre,2020-11-13,0
Campo Alegre,2020-11-14,0
Campo Alegre,2020-11-15,0
Campo Alegre,2020-11-16,0
Campo Alegre,2020-11-17,0
Campo Alegre,2020-11-18,2
Coruripe,2020-09-10,4
Coruripe,2020-09-11,8
Coruripe,2020-09-12,8
Coruripe,2020-09-13,6
Coruripe,2020-09-14,0
Coruripe,2020-09-15,33
Coruripe,2020-09-16,6
Coruripe,2020-09-17,0
Coruripe,2020-09-18,6
Coruripe,2020-09-19,6
Coruripe,2020-09-20,3
Coruripe,2020-09-21,4
Coruripe,2020-09-22,11
Coruripe,2020-09-23,8
Coruripe,2020-09-24,9
Coruripe,2020-09-25,10
Coruripe,2020-09-26,6
Coruripe,2020-09-27,7
Coruripe,2020-09-28,0
Coruripe,2020-09-29,3
Coruripe,2020-09-30,6
Coruripe,2020-10-01,3
Coruripe,2020-10-02,6
Coruripe,2020-10-03,7
Coruripe,2020-10-04,9
Coruripe,2020-10-05,1
Coruripe,2020-10-06,3
Coruripe,2020-10-07,0
Coruripe,2020-10-08,0
Coruripe,2020-10-09,0
Coruripe,2020-10-10,6
Coruripe,2020-10-11,5
Coruripe,2020-10-12,0
Coruripe,2020-10-13,0
Coruripe,2020-10-14,7
Coruripe,2020-10-15,9
Coruripe,2020-10-16,2
Coruripe,2020-10-17,10
Coruripe,2020-10-18,5
Coruripe,2020-10-19,0
Coruripe,2020-10-20,3
Coruripe,2020-10-21,8
Coruripe,2020-10-22,21
Coruripe,2020-10-23,2
Coruripe,2020-10-24,5
Coruripe,2020-10-25,0
Coruripe,2020-10-26,7
Coruripe,2020-10-27,1
Coruripe,2020-10-28,4
Coruripe,2020-10-29,3
Coruripe,2020-10-30,2
Coruripe,2020-10-31,4
Coruripe,2020-11-01,2
Coruripe,2020-11-02,2
Coruripe,2020-11-03,3
Coruripe,2020-11-04,0
Coruripe,2020-11-05,1
Coruripe,2020-11-06,8
Coruripe,2020-11-07,5
Coruripe,2020-11-08,3
Coruripe,2020-11-09,13
Coruripe,2020-11-10,2
Coruripe,2020-11-11,3
Coruripe,2020-11-12,7
Coruripe,2020-11-13,8
Coruripe,2020-11-14,0
Coruripe,2020-11-15,3
Coruripe,2020-11-16,0
Coruripe,2020-11-17,0
Coruripe,2020-11-18,14
Delmiro Gouveia,2020-09-10,10
Delmiro Gouveia,2020-09-11,5
Delmiro Gouveia,2020-09-12,15
Delmiro Gouveia,2020-09-13,0
Delmiro Gouveia,2020-09-14,0
Delmiro Gouveia,2020-09-15,5
Delmiro Gouveia,2020-09-16,12
Delmiro Gouveia,2020-09-17,0
Delmiro Gouveia,2020-09-18,2
Delmiro Gouveia,2020-09-19,5
Delmiro Gouveia,2020-09-20,0
Delmiro Gouveia,2020-09-21,0
Delmiro Gouveia,2020-09-22,4
Delmiro Gouveia,2020-09-23,4
Delmiro Gouveia,2020-09-24,3
Delmiro Gouveia,2020-09-25,3
Delmiro Gouveia,2020-09-26,1
Delmiro Gouveia,2020-09-27,0
Delmiro Gouveia,2020-09-28,1
Delmiro Gouveia,2020-09-29,3
Delmiro Gouveia,2020-09-30,2
Delmiro Gouveia,2020-10-01,2
Delmiro Gouveia,2020-10-02,1
Delmiro Gouveia,2020-10-03,0
Delmiro Gouveia,2020-10-04,3
Delmiro Gouveia,2020-10-05,0
Delmiro Gouveia,2020-10-06,1
Delmiro Gouveia,2020-10-07,3
Delmiro Gouveia,2020-10-08,2
Delmiro Gouveia,2020-10-09,4
Delmiro Gouveia,2020-10-10,5
Delmiro Gouveia,2020-10-11,1
Delmiro Gouveia,2020-10-12,0
Delmiro Gouveia,2020-10-13,0
Delmiro Gouveia,2020-10-14,9
Delmiro Gouveia,2020-10-15,0
Delmiro Gouveia,2020-10-16,1
Delmiro Gouveia,2020-10-17,1
Delmiro Gouveia,2020-10-18,0
Delmiro Gouveia,2020-10-19,0
Delmiro Gouveia,2020-10-20,0
Delmiro Gouveia,2020-10-21,1
Delmiro Gouveia,2020-10-22,1
Delmiro Gouveia,2020-10-23,0
Delmiro Gouveia,2020-10-24,3
Delmiro Gouveia,2020-10-25,0
Delmiro Gouveia,2020-10-26,0
Delmiro Gouveia,2020-10-27,1
Delmiro Gouveia,2020-10-28,0
Delmiro Gouveia,2020-10-29,1
Delmiro Gouveia,2020-10-30,3
Delmiro Gouveia,2020-10-31,0
Delmiro Gouveia,2020-11-01,0
Delmiro Gouveia,2020-11-02,0
Delmiro Gouveia,2020-11-03,0
Delmiro Gouveia,2020-11-04,3
Delmiro Gouveia,2020-11-05,6
Delmiro Gouveia,2020-11-06,5
Delmiro Gouveia,2020-11-07,3
Delmiro Gouveia,2020-11-08,0
Delmiro Gouveia,2020-11-09,1
Delmiro Gouveia,2020-11-10,3
Delmiro Gouveia,2020-11-11,2
Delmiro Gouveia,2020-11-12,0
Delmiro Gouveia,2020-11-13,2
Delmiro Gouveia,2020-11-14,2
Delmiro Gouveia,2020-11-15,1
Delmiro Gouveia,2020-11-16,0
Delmiro Gouveia,2020-11-17,0
Delmiro Gouveia,2020-11-18,7
Girau do Ponciano,2020-09-10,0
Girau do Ponciano,2020-09-11,10
Girau do Ponciano,2020-09-12,1
Girau do Ponciano,2020-09-13,0
Girau do Ponciano,2020-09-14,0
Girau do Ponciano,2020-09-15,6
Girau do Ponciano,2020-09-16,9
Girau do Ponciano,2020-09-17,0
Girau do Ponciano,2020-09-18,0
Girau do Ponciano,2020-09-19,1
Girau do Ponciano,2020-09-20,0
Girau do Ponciano,2020-09-21,1
Girau do Ponciano,2020-09-22,2
Girau do Ponciano,2020-09-23,9
Girau do Ponciano,2020-09-24,1
Girau do Ponciano,2020-09-25,1
Girau do Ponciano,2020-09-26,0
Girau do Ponciano,2020-09-27,1
Girau do Ponciano,2020-09-28,2
Girau do Ponciano,2020-09-29,5
Girau do Ponciano,2020-09-30,0
Girau do Ponciano,2020-10-01,2
Girau do Ponciano,2020-10-02,0
Girau do Ponciano,2020-10-03,0
Girau do Ponciano,2020-10-04,4
Girau do Ponciano,2020-10-05,0
Girau do Ponciano,2020-10-06,9
Girau do Ponciano,2020-10-07,1
Girau do Ponciano,2020-10-08,0
Girau do Ponciano,2020-10-09,0
Girau do Ponciano,2020-10-10,8
Girau do Ponciano,2020-10-11,0
Girau do Ponciano,2020-10-12,1
Girau do Ponciano,2020-10-13,2
Girau do Ponciano,2020-10-14,0
Girau do Ponciano,2020-10-15,0
Girau do Ponciano,2020-10-16,2
Girau do Ponciano,2020-10-17,0
Girau do Ponciano,2020-10-18,3
Girau do Ponciano,2020-10-19,1
Girau do Ponciano,2020-10-20,4
Girau do Ponciano,2020-10-21,0
Girau do Ponciano,2020-10-22,3
Girau do Ponciano,2020-10-23,1
Girau do Ponciano,2020-10-24,0
Girau do Ponciano,2020-10-25,0
Girau do Ponciano,2020-10-26,0
Girau do Ponciano,2020-10-27,2
Girau do Ponciano,2020-10-28,0
Girau do Ponciano,2020-10-29,1
Girau do Ponciano,2020-10-30,1
Girau do Ponciano,2020-10-31,0
Girau do Ponciano,2020-11-01,0
Girau do Ponciano,2020-11-02,0
Girau do Ponciano,2020-11-03,0
Girau do Ponciano,2020-11-04,0
Girau do Ponciano,2020-11-05,1
Girau do Ponciano,2020-11-06,1
Girau do Ponciano,2020-11-07,4
Girau do Ponciano,2020-11-08,0
Girau do Ponciano,2020-11-09,0
Girau do Ponciano,2020-11-10,1
Girau do Ponciano,2020-11-11,4
Girau do Ponciano,2020-11-12,2
Girau do Ponciano,2020-11-13,0
Girau do Ponciano,2020-11-14,0
Girau do Ponciano,2020-11-15,1
Girau do Ponciano,2020-11-16,0
Girau do Ponciano,2020-11-17,0
Girau do Ponciano,2020-11-18,1
Joaquim Gomes,2020-09-10,0
Joaquim Gomes,2020-09-11,2
Joaquim Gomes,2020-09-12,1
Joaquim Gomes,2020-09-13,1
Joaquim Gomes,2020-09-14,0
Joaquim Gomes,2020-09-15,6
Joaquim Gomes,2020-09-16,2
Joaquim Gomes,2020-09-17,0
Joaquim Gomes,2020-09-18,10
Joaquim Gomes,2020-09-19,11
Joaquim Gomes,2020-09-20,0
Joaquim Gomes,2020-09-21,0
Joaquim Gomes,2020-09-22,10
Joaquim Gomes,2020-09-23,11
Joaquim Gomes,2020-09-24,0
Joaquim Gomes,2020-09-25,1
Joaquim Gomes,2020-09-26,0
Joaquim Gomes,2020-09-27,0
Joaquim Gomes,2020-09-28,6
Joaquim Gomes,2020-09-29,4
Joaquim Gomes,2020-09-30,0
Joaquim Gomes,2020-10-01,0
Joaquim Gomes,2020-10-02,6
Joaquim Gomes,2020-10-03,3
Joaquim Gomes,2020-10-04,2
Joaquim Gomes,2020-10-05,0
Joaquim Gomes,2020-10-06,9
Joaquim Gomes,2020-10-07,8
Joaquim Gomes,2020-10-08,0
Joaquim Gomes,2020-10-09,1
Joaquim Gomes,2020-10-10,0
Joaquim Gomes,2020-10-11,0
Joaquim Gomes,2020-10-12,0
Joaquim Gomes,2020-10-13,0
Joaquim Gomes,2020-10-14,3
Joaquim Gomes,2020-10-15,1
Joaquim Gomes,2020-10-16,2
Joaquim Gomes,2020-10-17,0
Joaquim Gomes,2020-10-18,0
Joaquim Gomes,2020-10-19,0
Joaquim Gomes,2020-10-20,4
Joaquim Gomes,2020-10-21,1
Joaquim Gomes,2020-10-22,2
Joaquim Gomes,2020-10-23,0
Joaquim Gomes,2020-10-24,0
Joaquim Gomes,2020-10-25,0
Joaquim Gomes,2020-10-26,0
Joaquim Gomes,2020-10-27,10
Joaquim Gomes,2020-10-28,2
Joaquim Gomes,2020-10-29,0
Joaquim Gomes,2020-10-30,6
Joaquim Gomes,2020-10-31,0
Joaquim Gomes,2020-11-01,0
Joaquim Gomes,2020-11-02,0
Joaquim Gomes,2020-11-03,0
Joaquim Gomes,2020-11-04,2
Joaquim Gomes,2020-11-05,3
Joaquim Gomes,2020-11-06,3
Joaquim Gomes,2020-11-07,2
Joaquim Gomes,2020-11-08,0
Joaquim Gomes,2020-11-09,3
Joaquim Gomes,2020-11-10,0
Joaquim Gomes,2020-11-11,6
Joaquim Gomes,2020-11-12,0
Joaquim Gomes,2020-11-13,2
Joaquim Gomes,2020-11-14,0
Joaquim Gomes,2020-11-15,0
Joaquim Gomes,2020-11-16,0
Joaquim Gomes,2020-11-17,0
Joaquim Gomes,2020-11-18,5
Lagoa da Canoa,2020-09-10,1
Lagoa da Canoa,2020-09-11,1
Lagoa da Canoa,2020-09-12,5
Lagoa da Canoa,2020-09-13,0
Lagoa da Canoa,2020-09-14,0
Lagoa da Canoa,2020-09-15,2
Lagoa da Canoa,2020-09-16,9
Lagoa da Canoa,2020-09-17,1
Lagoa da Canoa,2020-09-18,1
Lagoa da Canoa,2020-09-19,3
Lagoa da Canoa,2020-09-20,0
Lagoa da Canoa,2020-09-21,36
Lagoa da Canoa,2020-09-22,37
Lagoa da Canoa,2020-09-23,25
Lagoa da Canoa,2020-09-24,0
Lagoa da Canoa,2020-09-25,1
Lagoa da Canoa,2020-09-26,5
Lagoa da Canoa,2020-09-27,9
Lagoa da Canoa,2020-09-28,3
Lagoa da Canoa,2020-09-29,2
Lagoa da Canoa,2020-09-30,0
Lagoa da Canoa,2020-10-01,0
Lagoa da Canoa,2020-10-02,0
Lagoa da Canoa,2020-10-03,4
Lagoa da Canoa,2020-10-04,17
Lagoa da Canoa,2020-10-05,0
Lagoa da Canoa,2020-10-06,0
Lagoa da Canoa,2020-10-07,1
Lagoa da Canoa,2020-10-08,1
Lagoa da Canoa,2020-10-09,0
Lagoa da Canoa,2020-10-10,1
Lagoa da Canoa,2020-10-11,0
Lagoa da Canoa,2020-10-12,0
Lagoa da Canoa,2020-10-13,2
Lagoa da Canoa,2020-10-14,0
Lagoa da Canoa,2020-10-15,0
Lagoa da Canoa,2020-10-16,2
Lagoa da Canoa,2020-10-17,0
Lagoa da Canoa,2020-10-18,3
Lagoa da Canoa,2020-10-19,0
Lagoa da Canoa,2020-10-20,1
Lagoa da Canoa,2020-10-21,1
Lagoa da Canoa,2020-10-22,1
Lagoa da Canoa,2020-10-23,0
Lagoa da Canoa,2020-10-24,0
Lagoa da Canoa,2020-10-25,0
Lagoa da Canoa,2020-10-26,0
Lagoa da Canoa,2020-10-27,0
Lagoa da Canoa,2020-10-28,1
Lagoa da Canoa,2020-10-29,0
Lagoa da Canoa,2020-10-30,0
Lagoa da Canoa,2020-10-31,0
Lagoa da Canoa,2020-11-01,0
Lagoa da Canoa,2020-11-02,0
Lagoa da Canoa,2020-11-03,0
Lagoa da Canoa,2020-11-04,2
Lagoa da Canoa,2020-11-05,1
Lagoa da Canoa,2020-11-06,0
Lagoa da Canoa,2020-11-07,0
Lagoa da Canoa,2020-11-08,1
Lagoa da Canoa,2020-11-09,0
Lagoa da Canoa,2020-11-10,0
Lagoa da Canoa,2020-11-11,1
Lagoa da Canoa,2020-11-12,2
Lagoa da Canoa,2020-11-13,0
Lagoa da Canoa,2020-11-14,0
Lagoa da Canoa,2020-11-15,0
Lagoa da Canoa,2020-11-16,0
Lagoa da Canoa,2020-11-17,0
Lagoa da Canoa,2020-11-18,11
Maceió,2020-09-10,45
Maceió,2020-09-11,50
Maceió,2020-09-12,377
